"","country","continent","subcontinent","pcgdp","hdi","polstab","goveff","corrupt","law","regul","voice","polity","demo","demindx","poverty","growth","homicide","politydem"
"21","Belize","Americas","Central America",4893.89990234375,0.73199999332428,54,48,59,40,33,69,NA,NA,NA,NA,2.40000009536743,45,NA
"22","Benin","Africa","Western Africa",804.700012207031,0.476000010967255,58,34,22,32,35,55,7,"Non-Democratic",5.86999988555908,NA,2.70000004768372,8,7
"23","Bermuda","Americas","Northern America",85748.1015625,NA,82,80,87,86,89,82,NA,NA,NA,NA,0.300000011920929,8,NA
"24","Bhutan","Asia","Southern Asia",2362.60009765625,0.583999991416931,70,65,78,59,14,43,3,"Non-Democratic",4.82000017166138,2.90000009536743,1.60000002384186,NA,6
"25","Bolivia","Americas","South America",2867.60009765625,0.666999995708466,36,42,33,14,23,46,7,"Non-Democratic",5.78999996185303,0.800000011920929,1.70000004768372,12,7
"26","Bosnia and Herzegovina","Europe","Southern Europe",4661.7998046875,0.731000006198883,36,39,52,50,51,43,-66,NA,5.01999998092651,NA,-0.100000001490116,NA,NA
"27","Botswana","Africa","Southern Africa",7411.2998046875,0.683000028133392,85,62,79,68,73,63,8,"Democratic",7.98000001907349,NA,0.899999976158142,18,8
"28","Brazil","Americas","South America",11938.900390625,0.744000017642975,37,51,55,52,55,59,8,"Democratic",7.11999988555908,1,0.899999976158142,25,8
"29","Brunei Darussalam","Asia","South-Eastern Asia",38563.30078125,0.851999998092651,86,74,74,69,83,32,NA,NA,NA,NA,1.29999995231628,2,NA
"30","Bulgaria","Europe","Eastern Europe",7498.7998046875,0.77700001001358,55,59,50,51,68,58,9,"Democratic",6.82999992370605,NA,-0.600000023841858,2,9
"31","Burkina Faso","Africa","Western Africa",716.099975585938,0.388000011444092,22,31,33,37,47,39,0,"Non-Democratic",4.15000009536743,NA,2.79999995231628,8,2
"32","Burundi","Africa","Eastern Africa",267.100006103516,0.388999998569489,9,15,2,15,22,21,6,"Non-Democratic",3.41000008583069,NA,3.09999990463257,8,7
"33","Cabo Verde","Africa","Western Africa",3683.89990234375,0.635999977588654,71,58,75,65,48,74,10,"Democratic",7.92000007629395,NA,0.899999976158142,10,10
"34","Cambodia","Asia","South-Eastern Asia",1006.09997558594,0.583999991416931,40,19,16,16,39,20,2,"Non-Democratic",4.59999990463257,NA,1.79999995231628,7,3
"35","Cameroon","Africa","Middle Africa",1328.59997558594,0.504000008106232,28,21,10,15,20,18,-4,"Non-Democratic",3.41000008583069,NA,2.5,8,1
"36","Canada","Americas","Northern America",52305.30078125,0.90200001001358,84,97,95,95,95,95,10,"Democratic",9.07999992370605,NA,1.20000004768372,2,10
"37","Cayman Islands","Americas","Caribbean",NA,NA,85,85,89,77,84,64,NA,NA,NA,NA,1.5,NA,NA
"38","Central African Republic","Africa","Middle Africa",334.600006103516,0.340999990701675,3,1,15,0,13,6,-1,"Non-Democratic",1.49000000953674,NA,2,12,NA
"39","Chad","Africa","Middle Africa",1009.70001220703,0.372000008821487,15,5,6,6,16,10,-2,"Non-Democratic",1.5,NA,3,7,1
"40","Chile","Americas","South America",15702.5,0.822000026702881,60,86,90,88,92,84,10,"Democratic",7.80000019073486,NA,0.899999976158142,3,10
"41","China","Asia","Eastern Asia",6991.89990234375,0.718999981880188,27,54,47,40,43,5,-7,"Non-Democratic",3,NA,0.5,NA,0
"42","Colombia","Americas","South America",7865.2998046875,0.711000025272369,11,56,43,41,63,44,7,"Non-Democratic",6.55000019073486,1.10000002384186,1.29999995231628,31,7
"43","Comoros","Africa","Eastern Africa",841.799987792969,0.488000005483627,38,7,25,17,10,31,9,"Democratic",3.51999998092651,NA,2.40000009536743,10,9
"44","Congo","Africa","Middle Africa",3167,0.564000010490417,30,11,11,14,8,16,-4,"Non-Democratic",2.89000010490417,NA,2.5,13,0
